Comment;Opinion
pacing got through so much and i'm pretty sure quite a bit was rearranged different kind of thrill but a thrill nonetheless surprised they skipped how eren broke out tho it wouldn't even be 10 seconds lol;disappointed
they need you man go and apply as a cad or animator btw did you notice that zachary blew up probably not since the story is not the main thing in this animation experts site xd;irrelevant
pieck chan what the fuck are you doing in paradis;irrelevant
tell me he succeeds;irrelevant
hitch has finally appeared in the final season it was funny when she noticed armin trying to touch the crystal with annie inside the scene with angry mob shouting shinzou sasageyo right after zachary died in an explosion was adapted perfectly i had imagined this scene to look like that while reading the manga same goes with awesome looking scene with eren putting on a jacket and same goes with the scene during which pixis and others were discussing the current situation on paradis including zachary's assassination by yaegerists the tension rises with each episode paradis is on the verge of civil war we are slowly getting closer to the ultimate climax of this situation pieck chan looked cute in the last frames of this episode by the way have you noticed two scenes with weird looking mikasa when she went with armin to zachary and pixis when he talked to mrs azumabito their faces looked weird not as bad as just weird lol;perfect
ey we finally agree on something also they don't love armin they love gabi;irrelevant
fucking blur that landscape was so beautiful if it wasn't for that goddamn blur i could barely see anything bunch of nobodies teamed up to work on the most popular anime ofc they cant do anything properly;average
every fucking eren kino scene is ruined except ep 5 i guess mappa really loves armin i guess;bad
i have no compassion for those who plot against eren they could die for all i care fuck you zachary the jacket scene is here actually it looks worse than it did in the manga even the trailer looked better but as we know that the trailer was a big fat lie i was waiting for the jacket scene for a long time kind of disappointed but i'll forgive mappa this time because of how many godly 10 pack eren shots they decided to add in this episode by far the best episode carried by eren's abs some more eren shots;disappointed
omggg u get it time to share;irrelevant
oh i forgot the other nitpick that i have is that mappa actually showed the wrong version of eren that talked with yelena about the plan it was in the past when eren had medium length hair to the sides but they showed manbun eren which yelena had never met and his facial expression was nonexistent fingers crossed that it s corrected in the blueray but low hopes for it happening anime manga;bad
all i can say is read the manga they even fucked up eren's hair in the yelena flashback eren was supposed to have short hair i have no idea what mappa is doing;bad
the only thing that matters;irrelevant
i am losing my passion because of this fucking adaption sigh wth is wrong with them no it is not time problem it is just that they don't know what the fans want and what this story need why would you let someone talented like omine direct ep11 which is not really as important as this one and butcher this ep don't they know that eren scene is really awaited by fans why would you make some random unimportant scenes look better i wish they will stop i prefer not getting an adaption for 3 years over killing my passion like this everytime i say wow next ep there will be that scene there is noway they will ruin it it is important and then they fucking ruin it they have a problem with important scene remember that mikasa enterance scene in ep6 that people hyped like mads then you got cg mikasa and ghoul face mikasa eren mirror scene and now this scene and many more i hate it i hate that this season existed it is disappointini wish i can ignore it and stop watching it but i can't;disappointed
shinzou sasageyo shinzou sasageyo shinzou sasageyo besides some off model shots this was a real good episode eren walked like a damn king looked way better than the pv imo pieck san in the end sasuga pieck chan as beautiful as ever the soundtrack there was also hyped af i was shitting myself the whole episode;hyped
no because trailer shot is different eren model and also it's just colored manga panel with no animation;irrelevant
zeke and yelena's plan is in motion;irrelevant
what's wrong with pixis face it really needs to be completely redone in the bluray idk what is the problem with the jacket scene it looks really great i really don't know what people are complaining about;good
i guess that's the main reason people can't change their profile picture to the one they desired it to be;irrelevant
any manbun eren content is good even if it's not supposed to be like that;good
i can't get over these guys crying over a jacket wearing scene that doesn't look bad at all btw it's just too cringe it's just a guy wearing a jacket chill;average
the animation is not bad still some people complained about it small small not die big big trouble people these people always complain then compare to jjk so stupid haiyaaa overall good episode and good animation;good
the animation was possibly the most limited in this ep out of the 12 we have nothing to cry about tho i saw eren's nipple;average
great episode drawings didnt seem off model at all idk what people are seeing and are nitpicky about i mean mappa is delivering decent quality chad eren scene was well dpne although a little bit of off model in betweening considering it was an imp scene couldve been done better but still great episode good choice of ost;average
ok so let me complaint first a lot of eye sore animation and i didn't like jacket scene and m the guy who didn't even watched the trailer so i don't get spoiled even a little bit honestly jacket scene could've been much better but eren is so badass and when he said locate zeke it made my heart skip a beat so i would say it made up for it and pacing was ok in my opinion armin and annie was amazing and ofc hitch was being a hitch especially i would love to see mikasa being more than soldier and having a greater power or influence at her disposal like hizuru's whole nation overall amazing ep;good
just watched the episode with rock bottom expectations and it was fine for the most part aside from some off model faces that can easily be fixed later on eren coat scene was paced oddly but it was far from terrible it was good enough not as epic as it could have been but it's not like the anime is ruined pacing was really good;average
if they're incapable of drawing a still frame then what can they draw;irrelevant
i mean i do get that the jacket scene is iconic but is it really that important;irrelevant
yes yes i agree as long as we see eren not everyone is a manga reader so we don't care about that kind of detail;irrelevant
oh shit yeah that seems too big of a mistake to happen could it be intentional if so i wonder why maybe fanservice lol;bad
i'm done that fcking jacket scene was so awful;terrible
damn that explosion rip zackly it could have killed armin and mikasa too the situation is extremely tense and eren walking outside shirtless was epic what a chad;good
now i definitely want the next parts to be in a movie format or else they'll censor everything;irrelevant
lol what you acting like the manga doe3sn't exist its also of quality;irrelevant
who are you saying that to mappa or the staff of aot and they are incapable of drawing a still frame u expect them to give sakuga everytime in a rushed schedule;irrelevant
eren did nothing wrong and everyone need a follower like floch;irrelevant
god that eren jacket scene was such a cocktease in the trailer and no surprise there they changed it and made it worse decent episode nonetheless;average
the buildup to something big i love it what is up with the complaining though people out here nitpicking every little thing;good
personally think that was an animation mistake according to the story yelena met up with eren close to the time with the train blushing scene and eren's hair still hadn't grown enough for a manbun at this point something they can fix in the blueray and seems minor but it shouldn't affect the story much as you said;irrelevant
lmfao this cannot be real;irrelevant
thank christ it got good again despite that previous shitty episode based on what i've seen so far in this season the new eldian military was so greedy and desperate to cling to whatever perceived semblance of power they had that they decided to lock their greatest asset up and then attempt to kill him despite popular opposition from the people and as a result left him with literally no option but to turn against them with the forward thinking members of the military following suit eren's faction tried reasoning with them got locked up for revealing what was going on to the people they tried peaceful protests which were completely ignored they are living in a military dictatorship so it's not like they had any means to try and vote zackley out add to that the urgency of the military deciding to have eren executed and what the fuck did you expect coup completely justified yeagerist faction all the way only thing i wish is that mikasa was right there with him instead of these weird shocked faces when she knows these fucks were literally about to kill him remember season 1 when eren first transformed into a titan and those military guys were trying to kill him so she pulled her blades out and threatened to slice up anybody who approached them or season 2 when eren got kidnapped and she threatened to kill both ymir and historia if they got in her way how is this different pretty sure she'll side with him eventually but this hesitation is weird anyway floch is such a commendable character now the mikasa fangirl from previous episode was right next to him too very interested in seeing more of them somewhat surprised with how quickly eren went along with this new faction which suggests to me he was in on it from the start lastly we got a shot of pieck who seems to have snuck onto paradis i guess marley has indeed moved quickly and not just to launch a straight forward invasion should get even more interesting with effectively 3 factions clashing now overall very satisfied with this week's episode;good
that's not a simple decision the world of making anime is a obscure world many people think that its simple but its not;irrelevant
the jacket scene was something i was looking forward to the most this season but i am very disappointed with how it looked;disappointed
you can never make people happy it seems that all the fanboys who picked up the manga in the last year or two and think of themselves as experts are nitpicking every single thing out that mappa does no adaptation is perfect the animation was less impressive as is the usual for more dialogue centric chapters lighten up edit the threads are blowing up with one stupid discussion after another mods should really limit who can start a new discussion thread in a popular show like this one;irrelevant
i hate mappa and you should to for the better future i got fever after hearing that they ruined eren jacket scene mod edit modified quote of edited post;disappointed
mappa just tried guys;average
they should've delayed pushing out dogshit is unnecessary;irrelevant
it really isn't that bad;average
sorry the first comment i made in my reply was addressed to you specifically the second one was to another user here mod edit modified quote of edited post;irrelevant
saying no homo will cover for me joining you to simp for him right;irrelevant
well all roads lead back to zeke;irrelevant
eren escapes prison and we finaly see the glorious eren moment in the anime that jacket scene was cool but the one in the trailer was better well everyone's out to catch eren now also connie's getting more and more annoying he's just too salty atm and can't get a clear view of things pieck is shown at the end so they've already infiltrated paradis;good
animation kind of subpar in this one imo but whole eren scene was good maybe i m just a sucker for scenes with the sunset in the background although i am going to say i prefer trailer version;average
it was different from the world i saw in a r m i n ' s b o o k the trailer;irrelevant
you should see the attack on titan wiki discord during and after the episode airs if you think this is bad place is a cesspit in fact i wouldn't be surprised if a lot of negativity you see on here comes from same users over there;irrelevant
i sometimes think that we don't deserve the final season to be animated because of these reviews for god sake guys why we can't enjoy the show without being an experts in criticising people who worked their ass off on this project and still suffering i don't think we can do better than what they delivered there's nothing wrong with this season we just need to forget wit studio and forget that we have had watched the trailer;average
aaa shit going down shinzo wo sasageyo is back;irrelevant
movie would be pg 13 everything would be censored you really think they ll cripple the amount of tickets they sell by putting an age restrition or r rating;irrelevant
zannen i loved zackly he was a perfect aot devil a funny one tho my heart raced at eren s jacket scene;good
the seasons had an inordinate amount of people that go around dishing out 1 5's for no reason at all other than spite it had 6 of them before this episode even aired in japan on the poll mod edit removed abuse baiting;irrelevant
floch you absolute chad you madlad;irrelevant
both of those were season 2 right think aot was on mbs at that point and not nhk like right now censorship constraints may differ due to the channel change and nhk is one of the main broadcasters in japan iirc i totally understand you though i would have preferred it not to be censored but given the channel constraints they did what they could;irrelevant
hell of a scheduled because of production committee people wanting the best quality there some off model characters but that's all for me the eren jacket scene is way better in the anime than the manga;good
hell nah lmao i couldn't care less not like i watch the entirety of aot just to sit here and complain about animation its just so fucking disappointing man imagine new anime watchers watching this shit a year from now they will literally drop this shit lol;terrible
the ost in this episode was perfect i love how mappa animated the explosion scene nice to see my girl hitch again the pacing in this episode was also perfect imo next episode gonna be sooo good i ve been waiting so long to see the restaurant scene animated d also eren did the thing he did the coat thing ahhh it looked kinda weird tho;hyped
eren jacket wearing was great i really can not understand some people that scene was bad just because it did not look like the manga;good
so imo the eren jacket sence was better than the trailer one actually i don't get it why the hell they are complaining about slightest shit you just watched it online from japan that's not the actual quality just wait and watch 1080p from crunchyroll then post critisesm some actually didn't watch it the episode yet idk man i'm sick of this toxicity it just ruining my experience and some other people;irrelevant
there was some little problems with animation but overall it was good i think you guys are complaining so much;good
mappa haters can keep on hating they did a great job animating this episode if it weren't for them we wouldn't be watching aot finale season right now;good
it was a very nice episode as usual the eren scene was made actually better than the trailer so props to mappa for that also pieck chan at the end aaaaahhhhh that was so hype 3 5 5;hyped
i have a mixed feeling but overall it's 4 7 5 the design isnt showing inconsistencies but straight changing it from what we've seen in previous episodes of s4 but hange floch and eren seems upgraded to the same level as gabi so it's cool for me thanks god this episode met its purpose to be tenseful it surely is from start to finish my reaction is what the fuck is happening what's impressive about this one is military reactions and civilians shinzou wo sasageyo it seems their coup d'etat from s3 backlash on them lol by the way claps to pixis he's the mvp of this episode him cornering yelena him taking a lead of militaries and his charisma is just hell fucking chad on the side note looks like they want to show that yeagerist as kind as possible glorify them we got calmer eren and floch which is funny because both of them originally loud as fuck some dedicated looks from another members of yeagerist and civilians supports also why the fuck onyankopon is so cool and likeable as hell;good
awesome episode chadren the great looked really good jacket scene was good some off model drawings but they will probably be fixed in the blu ray hopefully the zackly death censorship is also fixed in the blu ray animation quality is dropping a bit but that's understandable and it still looks great can't wait for next weeks episode;good
blu ray is improved verisons of the anime it released 3 6 months after the anime ends you either buy it for 300 or get it for free on some websites however if they'll improve much or not is up to debate in dorohedoro they barely changed anything and since this is 8 eps per blu ray i doubt there will be massive changes maybe recolor or a panel there and there 99 99 will look the same;irrelevant
its not that they can't draw it its the lack of time that is the problem i'm pretty sure you are aware that they were in a very tight schedule and its a miracle that they got it out in such a short time so criticising them like this is really unfair;irrelevant
so true but you still want sick animation to go with such great stories just like the previous season to make it a masterpiece;average
one piece tier tbh lmao;perfect
the episode was fine and all but they completely butchered the eren wearing the jacket scene the one in the trailer was way better;disappointed
dudes complaining about how someone puts on a jacket now lmfao honestly though i feel like after ep 7 or 8 some of the animation parts look off i guess i think the backgrounds and still frames of some shots are really good but its occasionally looks kind of strange at times hope they're just saving it for later scenes lol;good
